Name,City Area,Price For Two,Ratings,Tags,Link
Pasta Non Basta,Praça de Espanha,35.0,4.3,"Italiana, Pizza",https://www.zomato.com/pt/grande-lisboa/pasta-non-basta-praça-de-espanha-lisboa/info
Aron Sushi,Praça de Espanha,70.0,4.6,"Japonesa, Sushi",https://www.zomato.com/pt/grande-lisboa/aron-sushi-praça-de-espanha-lisboa/info
La Finestra,Praça de Espanha,38.0,4.2,"Italiana, Pizza",https://www.zomato.com/pt/grande-lisboa/la-finestra-praça-de-espanha-lisboa/info
Ararate,Praça de Espanha,65.0,4.5,Internacional,https://www.zomato.com/pt/grande-lisboa/ararate-praça-de-espanha-lisboa/info
Bellalisa Valmor,Praça de Espanha,40.0,4.2,"Italiana, Mediterrânica",https://www.zomato.com/pt/grande-lisboa/bellalisa-valmor-praça-de-espanha-lisboa/info
Contrabando,Santos,30.0,4.1,"Americana, Sul Americana, Churrasco, Bifes, Mexicana",https://www.zomato.com/pt/grande-lisboa/contrabando-santos-lisboa/info
Popolo - Pizza & Burger,Santos,25.0,3.8,"Hamburgueria, Pizza, Bebidas",https://www.zomato.com/pt/grande-lisboa/popolo-pizza-burger-santos-lisboa/info
Le Chat - Food & Cocktail,Santos,38.0,4.1,"Bebidas, Snacks",https://www.zomato.com/pt/grande-lisboa/le-chat-food-cocktail-santos-lisboa/info
C.O.W - Beef & Cocktails,Santos,40.0,4.2,"Bifes, Hamburgueria, Bebidas",https://www.zomato.com/pt/grande-lisboa/c-o-w-beef-cocktails-santos-lisboa/info
Restaurante Marco,Santos,30.0,4.3,Portuguesa,https://www.zomato.com/pt/grande-lisboa/restaurante-marco-santos-lisboa/info
El Cabron • Tacos y Tequilla,Santos,35.0,3.9,Mexicana,https://www.zomato.com/pt/grande-lisboa/el-cabron-tacos-y-tequilla-santos-lisboa/info
Local Santos - Your Healthy Kitchen,Santos,25.0,4.3,"Comida saudável, Vegetariana, Mediterrânica",https://www.zomato.com/pt/grande-lisboa/local-santos-your-healthy-kitchen-santos-lisboa/info
Hamburgueria Portuguesa by Farnel,Santos,30.0,4.2,Hamburgueria,https://www.zomato.com/pt/grande-lisboa/hamburgueria-portuguesa-by-farnel-santos-lisboa/info
OKAH Restaurant & Rooftop,Santos,60.0,4.1,"Mediterrânica, Sushi, Contemporânea",https://www.zomato.com/pt/grande-lisboa/okah-restaurant-rooftop-santos-lisboa/info
Soão - Taberna Asiática,Alvalade,60.0,4.7,"Coreana, Chinesa, Japonesa, Indiana, Vietnamita, Tailandesa",https://www.zomato.com/pt/grande-lisboa/soão-taberna-asiática-alvalade-lisboa/info
NATÁBUA,Alvalade,20.0,4.0,"Portuguesa, Petiscos, Bifes",https://www.zomato.com/pt/grande-lisboa/natábua-alvalade-lisboa/info
Dom Queijo,Alvalade,50.0,4.9,"Contemporânea, Fondue, Tapas",https://www.zomato.com/pt/grande-lisboa/dom-queijo-alvalade-lisboa/info
Pizzeria Lucca,Alvalade,32.0,4.3,"Italiana, Pizza",https://www.zomato.com/pt/grande-lisboa/pizzeria-lucca-alvalade-lisboa/info
Mercantina,Alvalade,40.0,4.1,"Italiana, Pizza",https://www.zomato.com/pt/grande-lisboa/mercantina-alvalade-lisboa/info
Pasta Non Basta,Alvalade,35.0,4.3,"Italiana, Pizza",https://www.zomato.com/pt/grande-lisboa/pasta-non-basta-alvalade-lisboa/info
Barrosã,Alvalade,35.0,4.4,Portuguesa,https://www.zomato.com/pt/grande-lisboa/barrosã-alvalade-lisboa/info
Salsa e Coentros,Alvalade,40.0,4.6,"Alentejana, Transmontana, Petiscos, Portuguesa",https://www.zomato.com/pt/grande-lisboa/salsa-e-coentros-alvalade-lisboa/info
O Prego da Peixaria,Alvalade,25.0,4.2,"Gourmet fast food, Snacks, Portuguesa",https://www.zomato.com/pt/grande-lisboa/o-prego-da-peixaria-alvalade-lisboa/info
The Decadente,Bairro Alto,50.0,4.1,Portuguesa,https://www.zomato.com/pt/grande-lisboa/the-decadente-bairro-alto-lisboa/info
Casa Cabaças,Bairro Alto,25.0,4.3,"Portuguesa, Bifes",https://www.zomato.com/pt/grande-lisboa/casa-cabaças-bairro-alto-lisboa/info
La Piadina,Bairro Alto,18.0,4.5,"Italiana, Comida saudável",https://www.zomato.com/pt/grande-lisboa/la-piadina-bairro-alto-lisboa/info
Tantura,Bairro Alto,30.0,4.5,"Mediterrânica, Israelita",https://www.zomato.com/pt/grande-lisboa/tantura-bairro-alto-lisboa/info
Valdo Gatti,Bairro Alto,30.0,4.5,Pizza,https://www.zomato.com/pt/grande-lisboa/valdo-gatti-bairro-alto-lisboa/info
Casanostra,Bairro Alto,50.0,4.4,Italiana,https://www.zomato.com/pt/grande-lisboa/casanostra-bairro-alto-lisboa/info
Cultura do Hamburguer,Bairro Alto,20.0,4.4,"Hamburgueria, Petiscos",https://www.zomato.com/pt/grande-lisboa/cultura-do-hamburguer-bairro-alto-lisboa/info
Stasha,Bairro Alto,25.0,4.2,"Portuguesa, Mediterrânica",https://www.zomato.com/pt/grande-lisboa/stasha-bairro-alto-lisboa/info
Artis,Bairro Alto,25.0,4.3,Portuguesa,https://www.zomato.com/pt/grande-lisboa/artis-bairro-alto-lisboa/info
Nicolau Lisboa,Baixa,20.0,4.3,"Sobremesa, Sumos, Comida saudável, Snacks",https://www.zomato.com/pt/grande-lisboa/nicolau-lisboa-baixa-lisboa/info
Panda Cantina,Baixa,25.0,4.7,Chinesa,https://www.zomato.com/pt/grande-lisboa/panda-cantina-baixa-lisboa/info
The George,Baixa,40.0,4.3,"Petiscos, Inglesa, Portuguesa, Bebidas",https://www.zomato.com/pt/grande-lisboa/the-george-baixa-lisboa/info
Delfina - Cantina Portuguesa,Baixa,40.0,4.4,"Portuguesa, Petiscos, Snacks",https://www.zomato.com/pt/grande-lisboa/delfina-cantina-portuguesa-baixa-lisboa/info
Tasca Kome,Baixa,60.0,4.6,Japonesa,https://www.zomato.com/pt/grande-lisboa/tasca-kome-baixa-lisboa/info
Bella Ciao,Baixa,30.0,4.0,Italiana,https://www.zomato.com/pt/grande-lisboa/bella-ciao-baixa-lisboa/info
Trobadores,Baixa,30.0,4.3,"Tapas, Petiscos, Bebidas, Snacks",https://www.zomato.com/pt/grande-lisboa/trobadores-baixa-lisboa/info
Caxemira,Baixa,30.0,4.5,Indiana,https://www.zomato.com/pt/grande-lisboa/caxemira-baixa-lisboa/info
Café do Rio - Hamburgueria Gourmet,Baixa,40.0,4.4,"Hamburgueria, Portuguesa",https://www.zomato.com/pt/grande-lisboa/café-do-rio-hamburgueria-gourmet-baixa-lisboa/info
Nómada Avenidas,Campo Pequeno,70.0,4.9,"Sushi, Contemporânea",https://www.zomato.com/pt/grande-lisboa/nómada-avenidas-campo-pequeno-lisboa/info
Arigato - Campo Pequeno,Campo Pequeno,40.0,4.1,"Japonesa, Sushi",https://www.zomato.com/pt/grande-lisboa/arigato-campo-pequeno-campo-pequeno-lisboa/info
O Nobre by Justa Nobre,Campo Pequeno,75.0,4.4,"Portuguesa, Autor",https://www.zomato.com/pt/grande-lisboa/o-nobre-by-justa-nobre-campo-pequeno-lisboa/info
Il Monello,Campo Pequeno,40.0,4.6,Italiana,https://www.zomato.com/pt/grande-lisboa/il-monello-campo-pequeno-lisboa/info
