Name,City Area,Price For Two,Ratings,Tags,Link
Le Chat - Food & Cocktail,Santos,38.0,4.1,"Beverages, Finger Food",https://www.zomato.com/grande-lisboa/le-chat-food-cocktail-santos-lisboa/info
Restaurante Marco,Santos,30.0,4.3,Portuguese,https://www.zomato.com/grande-lisboa/restaurante-marco-santos-lisboa/info
Gelato Davvero,Santos,6.0,4.9,Ice Cream,https://www.zomato.com/grande-lisboa/gelato-davvero-santos-lisboa/info
Local Santos - Your Healthy Kitchen,Santos,25.0,4.3,"Healthy Food, Vegetarian, Mediterranean",https://www.zomato.com/grande-lisboa/local-santos-your-healthy-kitchen-santos-lisboa/info
Hamburgueria Portuguesa by Farnel,Santos,20.0,4.2,Burger,https://www.zomato.com/grande-lisboa/hamburgueria-portuguesa-by-farnel-santos-lisboa/info
OKAH Restaurant & Rooftop,Santos,60.0,4.1,"Mediterranean, Sushi, Contemporary",https://www.zomato.com/grande-lisboa/okah-restaurant-rooftop-santos-lisboa/info
A Merendeira,Santos,8.0,3.9,"Portuguese, Finger Food",https://www.zomato.com/grande-lisboa/a-merendeira-santos-lisboa/info
NATÁBUA,Alvalade,20.0,4.0,"Portuguese, Petiscos, Steak",https://www.zomato.com/grande-lisboa/natábua-alvalade-lisboa/info
Pasta Non Basta,Alvalade,35.0,4.3,"Italian, Pizza",https://www.zomato.com/grande-lisboa/pasta-non-basta-alvalade-lisboa/info
Barrosã,Alvalade,35.0,4.4,Portuguese,https://www.zomato.com/grande-lisboa/barrosã-alvalade-lisboa/info
O Prego da Peixaria,Alvalade,25.0,4.2,"Gourmet Fast Food, Finger Food, Portuguese",https://www.zomato.com/grande-lisboa/o-prego-da-peixaria-alvalade-lisboa/info
Tico Tico,Alvalade,50.0,4.2,"Seafood, Grill, Portuguese, Steak",https://www.zomato.com/grande-lisboa/tico-tico-alvalade-lisboa/info
Gelados Conchanata,Alvalade,10.0,4.6,Ice Cream,https://www.zomato.com/grande-lisboa/gelados-conchanata-alvalade-lisboa/info
HeyMate,Alvalade,10.0,4.4,Ice Cream,https://www.zomato.com/grande-lisboa/heymate-alvalade-lisboa/info
MBH Hamburguesería,Alvalade,35.0,4.2,Burger,https://www.zomato.com/grande-lisboa/mbh-hamburguesería-alvalade-lisboa/info
Toca do Raposo,Alvalade,25.0,4.2,"Portuguese, Petiscos",https://www.zomato.com/grande-lisboa/toca-do-raposo-alvalade-lisboa/info
Pop Cereal Café,Bairro Alto,8.0,4.7,"Desserts, Beverages",https://www.zomato.com/popcerealcafe/info
Valdo Gatti,Bairro Alto,30.0,4.5,Pizza,https://www.zomato.com/grande-lisboa/valdo-gatti-bairro-alto-lisboa/info
Casanostra,Bairro Alto,50.0,4.4,Italian,https://www.zomato.com/grande-lisboa/casanostra-bairro-alto-lisboa/info
Cultura do Hamburguer,Bairro Alto,20.0,4.4,"Burger, Petiscos",https://www.zomato.com/grande-lisboa/cultura-do-hamburguer-bairro-alto-lisboa/info
Artis,Bairro Alto,25.0,4.3,Portuguese,https://www.zomato.com/grande-lisboa/artis-bairro-alto-lisboa/info
M'Arrecreo,Bairro Alto,30.0,4.2,"Pizza, Italian",https://www.zomato.com/grande-lisboa/marrecreo-bairro-alto-lisboa/info
Lumi Rooftop Bar & Restaurant,Bairro Alto,50.0,3.9,Portuguese,https://www.zomato.com/grande-lisboa/lumi-rooftop-bar-restaurant-bairro-alto-lisboa/info
Acarajé da Carol,Bairro Alto,20.0,4.0,Brazilian,https://www.zomato.com/grande-lisboa/acarajé-da-carol-bairro-alto-lisboa/info
BAHR & Terrace,Bairro Alto,85.0,3.9,Contemporary,https://www.zomato.com/grande-lisboa/bahr-terrace-bairro-alto-lisboa/info
Nicolau Lisboa,Baixa,20.0,4.3,"Desserts, Juices, Healthy Food, Finger Food",https://www.zomato.com/grande-lisboa/nicolau-lisboa-baixa-lisboa/info
Panda Cantina,Baixa,25.0,4.7,Chinese,https://www.zomato.com/grande-lisboa/panda-cantina-baixa-lisboa/info
Frutaria Café,Baixa,20.0,4.3,"Juices, Healthy Food, Finger Food",https://www.zomato.com/grande-lisboa/frutaria-café-baixa-lisboa/info
The George,Baixa,40.0,4.3,"Petiscos, British, Portuguese, Beverages",https://www.zomato.com/grande-lisboa/the-george-baixa-lisboa/info
Brunch Café,Baixa,25.0,4.1,"Cafe, Finger Food, Desserts",https://www.zomato.com/grande-lisboa/brunch-café-baixa-lisboa/info
Cotidiano Lisboa,Baixa,20.0,4.1,"Healthy Food, Finger Food, Desserts, Juices",https://www.zomato.com/grande-lisboa/cotidiano-lisboa-baixa-lisboa/info
Cervejaria Pinóquio,Baixa,50.0,4.4,"Seafood, Portuguese",https://www.zomato.com/grande-lisboa/cervejaria-pinóquio-baixa-lisboa/info
Kikusushi,Baixa,30.0,3.3,"Japanese, Sushi, Asian",https://www.zomato.com/grande-lisboa/kikusushi-baixa-lisboa/info
Dama e Vagabundo,Baixa,30.0,4.2,"Pizza, Italian",https://www.zomato.com/grande-lisboa/dama-e-vagabundo-baixa-lisboa/info
Despensa N6,Campo Pequeno,8.0,4.2,"Cafe, Bakery, Desserts, Crepes",https://www.zomato.com/grande-lisboa/despensa-n6-campo-pequeno-lisboa/info
Petisco Saloio,Campo Pequeno,25.0,4.5,"Portuguese, Petiscos",https://www.zomato.com/grande-lisboa/petisco-saloio-campo-pequeno-lisboa/info
1001 Nights Restaurante Iraniano,Campo Pequeno,20.0,4.3,"Iranian, Middle Eastern, Kebab",https://www.zomato.com/grande-lisboa/1001-nights-restaurante-iraniano-campo-pequeno-lisboa/info
Sauvage,Campo Pequeno,40.0,4.2,"Author, Contemporary",https://www.zomato.com/grande-lisboa/sauvage-campo-pequeno-lisboa/info
Rubro,Campo Pequeno,40.0,4.2,"Tapas, Spanish, Petiscos, Portuguese",https://www.zomato.com/grande-lisboa/rubro-campo-pequeno-lisboa/info
Dote,Campo Pequeno,25.0,4.1,"Portuguese, Petiscos",https://www.zomato.com/grande-lisboa/dote-campo-pequeno-lisboa/info
Mercantina Bistro 37,Campo Pequeno,40.0,4.2,"Italian, Pizza",https://www.zomato.com/grande-lisboa/mercantina-bistro-37-campo-pequeno-lisboa/info
O Tal,Campo Pequeno,12.0,3.8,"Desserts, Cafe, Ice Cream",https://www.zomato.com/grande-lisboa/o-tal-campo-pequeno-lisboa/info
O Melhor Croissant da Minha Rua,Campo Pequeno,8.0,4.3,"Cafe, Desserts",https://www.zomato.com/grande-lisboa/o-melhor-croissant-da-minha-rua-campo-pequeno-lisboa/info
Hífen,Cascais Centro,40.0,4.7,"Contemporary, Petiscos, Beverages",https://www.zomato.com/grande-lisboa/hífen-1-cascais-centro-lisboa/info
House of Wonders,Cascais Centro,25.0,4.3,"Vegetarian, Healthy Food, Cafe, Desserts",https://www.zomato.com/grande-lisboa/house-of-wonders-cascais-centro-lisboa/info
Páteo do Petisco,Cascais Centro,35.0,4.4,"Petiscos, Portuguese",https://www.zomato.com/grande-lisboa/páteo-do-petisco-cascais-centro-lisboa/info
Local Cascais - Your Healthy Kitchen,Cascais Centro,25.0,4.4,"Healthy Food, Vegetarian, Mediterranean",https://www.zomato.com/grande-lisboa/local-cascais-your-healthy-kitchen-cascais-centro-lisboa/info
Moules & Gin,Cascais Centro,65.0,4.4,"Seafood, Beverages",https://www.zomato.com/grande-lisboa/moules-gin-cascais-centro-lisboa/info
Mar do Inferno,Cascais Centro,75.0,4.6,"Seafood, Fresh Fish",https://www.zomato.com/grande-lisboa/mar-do-inferno-cascais-centro-lisboa/info
Crepes da Vila,Cascais Centro,15.0,4.3,"Desserts, Ice Cream, Finger Food, Cafe, Healthy Food, Vegetarian, Crepes",https://www.zomato.com/grande-lisboa/crepes-da-vila-cascais-centro-lisboa/info
Lambrettazzurra,Cascais Centro,30.0,4.4,"Italian, Pizza",https://www.zomato.com/grande-lisboa/lambrettazzurra-cascais-centro-lisboa/info
Masala,Cascais Centro,30.0,4.5,Indian,https://www.zomato.com/grande-lisboa/masala-cascais-centro-lisboa/info
Amélia Lisboa,Campo de Ourique,20.0,4.4,"Desserts, Juices, Healthy Food, Finger Food",https://www.zomato.com/grande-lisboa/amélia-lisboa-campo-de-ourique-lisboa/info
Memoria,Campo de Ourique,35.0,4.5,"Italian, Pizza",https://www.zomato.com/grande-lisboa/memoria-campo-de-ourique-lisboa/info
A Minha Cozinha,Campo de Ourique,20.0,4.3,"Finger Food, Desserts, Portuguese, Tea",https://www.zomato.com/grande-lisboa/a-minha-cozinha-campo-de-ourique-lisboa/info
Ilha da Madeira,Campo de Ourique,30.0,4.3,"Madeiran, Portuguese",https://www.zomato.com/oilhadamadeira/info
La Focacceria Pugliese,Campo de Ourique,30.0,4.3,"Italian, Pizza",https://www.zomato.com/grande-lisboa/la-focacceria-pugliese-campo-de-ourique-lisboa/info
Fiammetta,Campo de Ourique,30.0,4.0,Italian,https://www.zomato.com/grande-lisboa/fiammetta-campo-de-ourique-lisboa/info
Atalho do Mercado,Campo de Ourique,22.0,4.4,Steak,https://www.zomato.com/grande-lisboa/atalho-do-mercado-campo-de-ourique-lisboa/info
